"incidente","categoria"
"HOMICIDIO POR AHORCAMIENTO","Homicidios dolosos"
"HOMICIDIO POR ARMA BLANCA","Homicidios dolosos"
"HOMICIDIO POR ARMA DE FUEGO","Homicidios dolosos"
"HOMICIDIO POR GOLPES","Homicidios dolosos"
"HOMICIDIOS INTENCIONALES (OTROS)","Homicidios dolosos"
"LESIONES DOLOSAS POR QUEMADURAS","Lesiones dolosas"
"LESIONES INTENCIONALES","Lesiones dolosas"
"LESIONES INTENCIONALES POR ARMA BLANCA","Lesiones dolosas"
"LESIONES INTENCIONALES POR ARMA DE FUEGO","Lesiones dolosas"
"LESIONES INTENCIONALES POR GOLPES","Lesiones dolosas"
"LESIONES INTENCIONALES Y ROBO DE VEHICULO","Lesiones dolosas"
"ROBO A CASA HABITACION CON VIOLENCIA","Robo a casa habitación"
"ROBO A CASA HABITACION SIN VIOLENCIA","Robo a casa habitación"
"ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA","Robo a casa habitación"
"ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA","Robo a casa habitación"
"ROBO A NEGOCIO CON VIOLENCIA","Robo a negocio"
"ROBO A NEGOCIO CON VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO)","Robo a negocio"
"ROBO A NEGOCIO CON VIOLENCIA POR FARDEROS (TIENDAS DE CONVENIENCIA)","Robo a negocio"
"ROBO A NEGOCIO SIN VIOLENCIA","Robo a negocio"
"ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS","Robo a negocio"
"ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO)","Robo a negocio"
"ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE CONVENIENCIA)","Robo a negocio"
"ROBO A NEGOCIO Y VEHICULO CON VIOLENCIA","Robo a negocio"
"ROBO A NEGOCIO Y VEHICULO SIN VIOLENCIA","Robo a negocio"
"ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA","Robo a pasajero"
"ROBO A PASAJERO A BORDO DE METRO CON VIOLENCIA","Robo a pasajero"
"ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA","Robo a pasajero"
"ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA","Robo a pasajero"
"ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA","Robo a pasajero"
