CVEGEO,colonia_cve,cuadrante_id,Industria,Comercio,Servicios
0901000010898031,1119,017,1,4,5
0901000012269024,1082,014,0,0,0
0901000011472068,1030,011,1,1,0
0901000011824024,1135,0110,0,3,2
0901000012377004,1081,018,0,0,0
0901000012358031,281,011,0,0,0
0901000012358023,281,011,0,0,0
0901000012358022,281,011,0,0,0
0901000012343007,1051,013,1,3,4
0901000012201018,1061,015,0,0,0
0901000012146008,268,017,0,0,0
0901000012019005,1055,013,1,3,0
0901000011947026,1068,014,3,2,2
0901000011928021,1023,012,0,0,0
0901000011665059,1127,016,0,1,0
0901000011557054,1068,014,0,0,1
0901000011557013,1068,014,0,1,0
0901000011241017,304,016,0,0,8
0901000011237009,302,016,1,1,7
0901000011218011,300,016,3,0,4
090100001103A012,956,015,0,2,0
0901000011010006,957,015,1,1,1
0901000010991025,262,013,0,0,0
0901000010845001,265,0111,1,2,3
0901000010493022,998,018,1,2,1
0901000010489010,1027,016,0,0,0
0901000010455018,1067,014,2,8,5
0901000010385034,1019,014,0,0,0
0901000010101001,982,013,0,0,1
0901000012377021,997,018,0,1,0
0901000012362035,997,018,2,6,23
0901000012358032,281,011,0,0,0
0901000012324030,1062,015,3,7,5
0901000012324029,1063,015,0,0,0
0901000012324021,1063,015,0,1,0
090100001231A015,1062,015,0,0,0
0901000012292056,1089,017,0,0,0
0901000012292038,1810,0110,0,2,3
0901000012292032,1088,017,0,0,0
0901000012292023,1088,017,0,1,0
0901000012292014,1088,017,0,0,0
0901000012292012,1087,017,0,1,1
0901000012292004,1087,017,0,2,2
0901000012288028,1121,017,0,0,0
0901000011858021,301,014,0,0,0
0901000011858018,301,014,1,1,11
0901000011843015,1132,019,1,2,0
0901000012131009,962,018,0,0,0
0901000011839014,1143,0110,1,2,5
0901000011824013,1135,0110,0,0,0
0901000011824012,1134,0110,1,10,7
0901000011805008,974,012,2,3,4
0901000011805007,974,012,0,0,1
0901000011792033,1000,013,0,0,1
0901000011792032,1000,013,1,1,0
0901000011773016,969,015,0,0,1
0901000011773015,969,015,0,0,2
0901000011773007,969,015,1,0,0
0901000011769089,287,011,0,2,1
0901000011881046,1104,016,0,0,0
0901000011769054,286,016,0,1,3
0901000011970019,1016,016,3,8,7
0901000011843003,1132,019,1,5,1
0901000011773030,271,012,3,6,5
090100001174A026,293,012,0,0,0
090100001174A012,293,012,1,2,0
090100001174A011,293,012,0,4,0
0901000011735076,289,012,0,0,0
0901000011735066,1261,012,1,0,1
0901000011735065,1260,012,0,0,0
0901000011720052,288,011,0,0,0
0901000011720040,287,011,0,4,1
0901000011716077,294,012,0,0,0
0901000012235007,1106,016,0,0,0
0901000011716068,294,012,0,0,0
0901000011684055,296,018,0,0,0
0901000011684023,949,018,0,0,0
0901000012131026,990,018,0,0,0
0901000011684022,296,018,1,10,3
0901000011684010,949,018,1,0,0
0901000011650011,1114,017,0,0,0
0901000011646053,1114,017,0,1,0
0901000011646052,1114,017,0,0,1
0901000011646021,1128,017,0,1,0
0901000011631065,1107,016,1,2,0
0901000011631064,1107,016,0,2,0
0901000011627042,1111,017,4,20,3
0901000011627016,1095,017,0,0,4
0901000011627004,1095,017,1,0,0
0901000011595090,1055,013,0,0,1
0901000011595013,1055,013,1,2,2
0901000011595004,1055,013,1,3,1
0901000011580075,1071,018,0,0,0
0901000011580066,1071,018,0,0,0
0901000011716076,295,018,1,2,0
0901000011561020,1056,013,0,1,1
0901000011561019,1056,013,0,0,1
0901000011561002,1056,013,0,1,0
0901000011561001,1056,013,0,0,0
0901000011557055,1068,014,1,4,10
0901000011542047,280,011,0,11,31
0901000011523025,1017,016,0,1,0
0901000011523018,1016,016,0,0,0
0901000011519009,1016,016,2,6,3
0901000011487017,1057,013,0,1,4
0901000011487016,1043,013,0,0,0
0901000011487007,1057,013,0,3,0
0901000011472016,1032,011,0,1,0
0901000012235029,1106,016,0,0,0
0901000011453022,993,014,1,3,4
0901000011453005,1019,014,0,0,0
0901000011434034,1004,013,0,0,3
0901000011434024,1004,013,0,1,1
0901000011434015,1004,013,0,1,0
0901000011379061,280,011,2,3,23
0901000012023019,1076,015,0,4,1
0901000011364018,294,012,0,6,4
090100001135A051,287,011,0,0,0
090100001135A037,287,011,0,4,2
090100001135A035,287,011,2,28,15
090100001135A023,287,011,0,1,2
0901000011453035,993,014,0,1,0
0901000011345005,288,017,0,0,1
0901000011330050,288,017,1,6,3
0901000011307007,303,0110,0,0,4
0901000011307006,303,0110,0,0,0
0901000011294010,303,0113,0,0,3
